,precision,recall,f1-score,support,ROC_AUC
Bad,0.732±0.015,0.750±0.022,0.740±0.010,1027.200±0.447,nan±nan
Good,0.721±0.013,0.701±0.029,0.711±0.015,947.000±0.000,nan±nan
accuracy,0.726±0.010,0.726±0.010,0.726±0.010,0.726±0.010,0.796±0.009
macro avg,0.726±0.010,0.725±0.010,0.725±0.011,1974.200±0.447,nan±nan
weighted avg,0.727±0.010,0.726±0.010,0.726±0.010,1974.200±0.447,nan±nan
