,precision,recall,f1-score,support,ROC_AUC
Bad,0.746,0.708,0.726,1027.200,
Good,0.699,0.737,0.717,947.000,
accuracy,0.722,0.722,0.722,0.722,0.787
macro avg,0.722,0.722,0.722,1974.200,
weighted avg,0.723,0.722,0.722,1974.200,
