,precision,recall,f1-score,support,ROC_AUC
No subscription,0.9052934407364788,0.9852222917971196,0.943568215892054,7985.0,
"Yes, subscribed",0.6657223796033994,0.222117202268431,0.3330970942593905,1058.0,
accuracy,0.8959416122968041,0.8959416122968041,0.8959416122968041,0.8959416122968041,0.7942600315099319
macro avg,0.785507910169939,0.6036697470327753,0.6383326550757222,9043.0,
weighted avg,0.8772644478492954,0.8959416122968041,0.8721451873962718,9043.0,
