,precision,recall,f1-score,support,ROC_AUC
No subscription,0.907±0.002,0.983±0.002,0.943±0.001,7984.400±0.548,nan±nan
"Yes, subscribed",0.643±0.014,0.237±0.019,0.346±0.019,1057.800±0.447,nan±nan
accuracy,0.895±0.001,0.895±0.001,0.895±0.001,0.895±0.001,0.801±0.006
macro avg,0.775±0.007,0.610±0.009,0.644±0.010,9042.200±0.447,nan±nan
weighted avg,0.876±0.002,0.895±0.001,0.873±0.003,9042.200±0.447,nan±nan
