,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.864±0.002,0.951±0.001,0.906±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.740±0.002,0.484±0.007,0.585±0.006,6375.400±0.548,nan±nan
accuracy,0.846±0.001,0.846±0.001,0.846±0.001,0.846±0.001,0.870±0.003
macro avg,0.802±0.002,0.717±0.003,0.745±0.003,28438.600±0.548,nan±nan
weighted avg,0.837±0.002,0.846±0.001,0.834±0.002,28438.600±0.548,nan±nan
