,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.859±0.008,0.946±0.009,0.900±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.712±0.018,0.461±0.040,0.558±0.025,6375.400±0.548,nan±nan
accuracy,0.837±0.002,0.837±0.002,0.837±0.002,0.837±0.002,0.840±0.001
macro avg,0.785±0.005,0.703±0.016,0.729±0.013,28438.600±0.548,nan±nan
weighted avg,0.826±0.002,0.837±0.002,0.823±0.006,28438.600±0.548,nan±nan
