,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.699±0.014,0.769±0.015,0.732±0.012,792.600±0.548,nan±nan
Recidivism,0.680±0.017,0.596±0.025,0.635±0.019,650.200±0.447,nan±nan
accuracy,0.691±0.014,0.691±0.014,0.691±0.014,0.691±0.014,0.747±0.017
macro avg,0.689±0.015,0.683±0.015,0.684±0.015,1442.800±0.447,nan±nan
weighted avg,0.690±0.015,0.691±0.014,0.689±0.015,1442.800±0.447,nan±nan
