,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.014,0.015,0.012,0.548,
Recidivism,0.017,0.025,0.019,0.447,
accuracy,0.014,0.014,0.014,0.014,0.017
macro avg,0.015,0.015,0.015,0.447,
weighted avg,0.015,0.014,0.015,0.447,
