,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.702±0.024,0.741±0.038,0.720±0.013,792.600±0.548,nan±nan
Recidivism,0.662±0.020,0.614±0.060,0.635±0.031,650.200±0.447,nan±nan
accuracy,0.684±0.015,0.684±0.015,0.684±0.015,0.684±0.015,0.736±0.016
macro avg,0.682±0.015,0.677±0.018,0.678±0.017,1442.800±0.447,nan±nan
weighted avg,0.684±0.016,0.684±0.015,0.682±0.016,1442.800±0.447,nan±nan
