,precision,recall,f1-score,support,ROC_AUC
Churn,0.017,0.019,0.019,0.447,
No Churn,0.006,0.004,0.005,0.447,
accuracy,0.008,0.008,0.008,0.008,0.014
macro avg,0.012,0.012,0.012,0.548,
weighted avg,0.009,0.008,0.009,0.548,
