,precision,recall,f1-score,support,ROC_AUC
No Churn,0.8448581560283688,0.9207729468599034,0.8811835413777163,1035.0,
Churn,0.708185053380783,0.5320855614973262,0.6076335877862595,374.0,
accuracy,0.8176011355571328,0.8176011355571328,0.8176011355571328,0.8176011355571328,0.8630060192720039
macro avg,0.7765216047045759,0.7264292541786148,0.7444085645819879,1409.0,
weighted avg,0.8085801287819548,0.8176011355571328,0.808573404654363,1409.0,
