,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.951±0.000,1.000±0.000,0.975±0.000,972.200±0.447,nan±nan
Stroke,0.000±0.000,0.000±0.000,0.000±0.000,49.800±0.447,nan±nan
accuracy,0.951±0.000,0.951±0.000,0.951±0.000,0.951±0.000,0.836±0.018
macro avg,0.476±0.000,0.500±0.000,0.488±0.000,1022.000±0.000,nan±nan
weighted avg,0.905±0.001,0.951±0.000,0.928±0.001,1022.000±0.000,nan±nan
