,precision,recall,f1-score,support,ROC_AUC
Churn,0.019,0.030,0.024,0.447,
No Churn,0.009,0.006,0.006,0.447,
accuracy,0.009,0.009,0.009,0.009,0.013
macro avg,0.013,0.016,0.015,0.548,
weighted avg,0.011,0.009,0.010,0.548,
