,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.005,0.047,0.021,0.548,
Potable,0.060,0.028,0.011,0.548,
accuracy,0.019,0.019,0.019,0.019,0.040
macro avg,0.032,0.011,0.008,0.447,
weighted avg,0.026,0.019,0.011,0.447,
