,precision,recall,f1-score,support,ROC_AUC
Bad,0.736,0.758,0.747,1027.200,
Good,0.729,0.705,0.717,947.000,
accuracy,0.733,0.733,0.733,0.733,0.802
macro avg,0.733,0.732,0.732,1974.200,
weighted avg,0.733,0.733,0.733,1974.200,
