,precision,recall,f1-score,support,ROC_AUC
College,0.871±0.029,0.866±0.022,0.868±0.005,100.000±0.000,nan±nan
No College,0.867±0.014,0.870±0.038,0.868±0.012,100.000±0.000,nan±nan
accuracy,0.868±0.008,0.868±0.008,0.868±0.008,0.868±0.008,0.952±0.007
macro avg,0.869±0.008,0.868±0.008,0.868±0.008,200.000±0.000,nan±nan
weighted avg,0.869±0.008,0.868±0.008,0.868±0.008,200.000±0.000,nan±nan
