,precision,recall,f1-score,support,ROC_AUC
No College,0.8640776699029126,0.89,0.8768472906403941,100.0,
College,0.8865979381443299,0.86,0.8730964467005077,100.0,
accuracy,0.875,0.875,0.875,0.875,0.9576
macro avg,0.8753378040236213,0.875,0.8749718686704508,200.0,
weighted avg,0.8753378040236212,0.875,0.8749718686704508,200.0,
