,precision,recall,f1-score,support,ROC_AUC
Bad,0.7603068072866731,0.7714007782101168,0.7658136166103331,1028.0,
Good,0.7478540772532188,0.7360084477296727,0.7418839808408727,947.0,
accuracy,0.7544303797468355,0.7544303797468355,0.7544303797468355,0.7544303797468355,0.8207096750335896
macro avg,0.754080442269946,0.7537046129698948,0.7538487987256028,1975.0,
weighted avg,0.7543358020503789,0.7544303797468355,0.7543395077122678,1975.0,
