,precision,recall,f1-score,support,ROC_AUC
Bad,0.742±0.013,0.758±0.011,0.750±0.010,1027.200±0.447,nan±nan
Good,0.731±0.010,0.714±0.018,0.722±0.013,947.000±0.000,nan±nan
accuracy,0.737±0.011,0.737±0.011,0.737±0.011,0.737±0.011,0.807±0.009
macro avg,0.736±0.011,0.736±0.011,0.736±0.011,1974.200±0.447,nan±nan
weighted avg,0.737±0.011,0.737±0.011,0.736±0.011,1974.200±0.447,nan±nan
