,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.004,0.014,0.005,0.447,
Stroke,0.144,0.087,0.094,0.447,
accuracy,0.009,0.009,0.009,0.009,0.037
macro avg,0.074,0.036,0.045,0.000,
weighted avg,0.010,0.009,0.002,0.000,
