,precision,recall,f1-score,support,ROC_AUC
College,0.032,0.041,0.006,0.000,
No College,0.033,0.040,0.006,0.000,
accuracy,0.004,0.004,0.004,0.004,0.008
macro avg,0.006,0.004,0.004,0.000,
weighted avg,0.006,0.004,0.004,0.000,
