,precision,recall,f1-score,support,ROC_AUC
College,0.891±0.032,0.900±0.041,0.894±0.006,100.000±0.000,nan±nan
No College,0.901±0.033,0.888±0.040,0.893±0.006,100.000±0.000,nan±nan
accuracy,0.894±0.004,0.894±0.004,0.894±0.004,0.894±0.004,0.967±0.008
macro avg,0.896±0.006,0.894±0.004,0.894±0.004,200.000±0.000,nan±nan
weighted avg,0.896±0.006,0.894±0.004,0.894±0.004,200.000±0.000,nan±nan
