,precision,recall,f1-score,support,ROC_AUC
Churn,0.033,0.054,0.032,0.447,
No Churn,0.013,0.019,0.006,0.447,
accuracy,0.009,0.009,0.009,0.009,0.014
macro avg,0.016,0.021,0.017,0.548,
weighted avg,0.011,0.009,0.011,0.548,
