,precision,recall,f1-score,support,ROC_AUC
Bad,0.717±0.027,0.755±0.021,0.735±0.012,1027.200±0.447,nan±nan
Good,0.718±0.012,0.674±0.051,0.694±0.030,947.000±0.000,nan±nan
accuracy,0.716±0.019,0.716±0.019,0.716±0.019,0.716±0.019,0.779±0.021
macro avg,0.717±0.017,0.715±0.020,0.715±0.020,1974.200±0.447,nan±nan
weighted avg,0.717±0.017,0.716±0.019,0.715±0.020,1974.200±0.447,nan±nan
