,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.871±0.002,0.946±0.001,0.907±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.736±0.006,0.516±0.007,0.607±0.006,6375.400±0.548,nan±nan
accuracy,0.850±0.002,0.850±0.002,0.850±0.002,0.850±0.002,0.878±0.003
macro avg,0.804±0.003,0.731±0.004,0.757±0.004,28438.600±0.548,nan±nan
weighted avg,0.841±0.002,0.850±0.002,0.840±0.002,28438.600±0.548,nan±nan
