,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.878,0.939,0.907,4944.000,
Income > 50K,0.755,0.587,0.658,1568.200,
accuracy,0.854,0.854,0.854,0.854,0.906
macro avg,0.817,0.763,0.783,6512.200,
weighted avg,0.848,0.854,0.847,6512.200,
