,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.013,0.013,0.002,0.000,
Income > 50K,0.028,0.056,0.029,0.447,
accuracy,0.004,0.004,0.004,0.004,0.002
macro avg,0.008,0.022,0.015,0.447,
weighted avg,0.004,0.004,0.008,0.447,
