,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.878±0.013,0.939±0.013,0.907±0.002,4944.000±0.000,nan±nan
Income > 50K,0.755±0.028,0.587±0.056,0.658±0.029,1568.200±0.447,nan±nan
accuracy,0.854±0.004,0.854±0.004,0.854±0.004,0.854±0.004,0.906±0.002
macro avg,0.817±0.008,0.763±0.022,0.783±0.015,6512.200±0.447,nan±nan
weighted avg,0.848±0.004,0.854±0.004,0.847±0.008,6512.200±0.447,nan±nan
