,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.694±0.019,0.768±0.010,0.729±0.014,792.600±0.548,nan±nan
Recidivism,0.674±0.019,0.587±0.034,0.627±0.027,650.200±0.447,nan±nan
accuracy,0.686±0.019,0.686±0.019,0.686±0.019,0.686±0.019,0.742±0.026
macro avg,0.684±0.019,0.677±0.020,0.678±0.020,1442.800±0.447,nan±nan
weighted avg,0.685±0.019,0.686±0.019,0.683±0.020,1442.800±0.447,nan±nan
