,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.006,0.011,0.007,0.548,
Potable,0.053,0.012,0.019,0.548,
accuracy,0.010,0.010,0.010,0.010,0.018
macro avg,0.029,0.010,0.012,0.447,
weighted avg,0.024,0.010,0.011,0.447,
