,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.017,0.009,0.011,0.548,
Recidivism,0.015,0.029,0.022,0.447,
accuracy,0.015,0.015,0.015,0.015,0.017
macro avg,0.015,0.016,0.016,0.447,
weighted avg,0.015,0.015,0.016,0.447,
