,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.624±0.002,0.957±0.012,0.755±0.004,399.600±0.548,nan±nan
Potable,0.599±0.036,0.099±0.012,0.169±0.017,255.600±0.548,nan±nan
accuracy,0.622±0.004,0.622±0.004,0.622±0.004,0.622±0.004,0.578±0.023
macro avg,0.611±0.019,0.528±0.003,0.462±0.008,655.200±0.447,nan±nan
weighted avg,0.614±0.015,0.622±0.004,0.527±0.006,655.200±0.447,nan±nan
