,precision,recall,f1-score,support,ROC_AUC
Bad,0.7126148705096074,0.7811355311355311,0.745303626037571,1092.0,
Good,0.7329608938547486,0.656,0.6923482849604222,1000.0,
accuracy,0.72131931166348,0.72131931166348,0.72131931166348,0.72131931166348,0.789981684981685
macro avg,0.722787882182178,0.7185677655677656,0.7188259554989966,2092.0,
weighted avg,0.7223405030837667,0.72131931166348,0.7199903654844406,2092.0,
