,precision,recall,f1-score,support,ROC_AUC
Bad,0.720±0.011,0.775±0.009,0.746±0.005,1091.800±0.447,nan±nan
Good,0.732±0.006,0.671±0.021,0.700±0.012,1000.000±0.000,nan±nan
accuracy,0.725±0.007,0.725±0.007,0.725±0.007,0.725±0.007,0.797±0.006
macro avg,0.726±0.007,0.723±0.008,0.723±0.008,2091.800±0.447,nan±nan
weighted avg,0.726±0.007,0.725±0.007,0.724±0.008,2091.800±0.447,nan±nan
