,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.880±0.002,0.948±0.003,0.913±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.756±0.010,0.552±0.008,0.638±0.005,6375.400±0.548,nan±nan
accuracy,0.860±0.002,0.860±0.002,0.860±0.002,0.860±0.002,0.893±0.002
macro avg,0.818±0.005,0.750±0.003,0.775±0.003,28438.600±0.548,nan±nan
weighted avg,0.852±0.002,0.860±0.002,0.851±0.002,28438.600±0.548,nan±nan
