,precision,recall,f1-score,support,ROC_AUC
Bad,0.742±0.015,0.758±0.014,0.750±0.012,1027.200±0.447,nan±nan
Good,0.731±0.013,0.714±0.021,0.723±0.015,947.000±0.000,nan±nan
accuracy,0.737±0.013,0.737±0.013,0.737±0.013,0.737±0.013,0.807±0.010
macro avg,0.737±0.013,0.736±0.013,0.736±0.013,1974.200±0.447,nan±nan
weighted avg,0.737±0.013,0.737±0.013,0.737±0.013,1974.200±0.447,nan±nan
