,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.881±0.003,0.940±0.003,0.910±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.730±0.006,0.560±0.014,0.634±0.008,6375.400±0.548,nan±nan
accuracy,0.855±0.002,0.855±0.002,0.855±0.002,0.855±0.002,0.887±0.002
macro avg,0.806±0.003,0.750±0.006,0.772±0.004,28438.600±0.548,nan±nan
weighted avg,0.847±0.002,0.855±0.002,0.848±0.002,28438.600±0.548,nan±nan
