,precision,recall,f1-score,support,ROC_AUC
Bad,0.722,0.741,0.731,1027.200,
Good,0.712,0.688,0.699,947.000,
accuracy,0.716,0.716,0.716,0.716,0.768
macro avg,0.717,0.715,0.715,1974.200,
weighted avg,0.717,0.716,0.715,1974.200,
