,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.895±0.002,0.944±0.004,0.918±0.002,4944.000±0.000,nan±nan
Income > 50K,0.785±0.012,0.649±0.009,0.711±0.007,1568.200±0.447,nan±nan
accuracy,0.873±0.003,0.873±0.003,0.873±0.003,0.873±0.003,0.929±0.002
macro avg,0.840±0.006,0.796±0.004,0.815±0.005,6512.200±0.447,nan±nan
weighted avg,0.868±0.004,0.873±0.003,0.868±0.003,6512.200±0.447,nan±nan
