,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.681±0.004,0.770±0.033,0.722±0.014,792.600±0.548,nan±nan
Recidivism,0.668±0.024,0.559±0.023,0.608±0.006,650.200±0.447,nan±nan
accuracy,0.675±0.009,0.675±0.009,0.675±0.009,0.675±0.009,0.709±0.015
macro avg,0.674±0.012,0.665±0.007,0.665±0.006,1442.800±0.447,nan±nan
weighted avg,0.675±0.011,0.675±0.009,0.671±0.007,1442.800±0.447,nan±nan
