,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.020,0.064,0.030,0.548,
Recidivism,0.013,0.070,0.026,0.447,
accuracy,0.009,0.009,0.009,0.009,0.014
macro avg,0.010,0.009,0.008,0.447,
weighted avg,0.011,0.009,0.009,0.447,
