,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.649±0.020,0.576±0.064,0.608±0.030,792.600±0.548,nan±nan
Recidivism,0.545±0.013,0.616±0.070,0.576±0.026,650.200±0.447,nan±nan
accuracy,0.594±0.009,0.594±0.009,0.594±0.009,0.594±0.009,0.632±0.014
macro avg,0.597±0.010,0.596±0.009,0.592±0.008,1442.800±0.447,nan±nan
weighted avg,0.602±0.011,0.594±0.009,0.594±0.009,1442.800±0.447,nan±nan
