,precision,recall,f1-score,support,ROC_AUC
No College,0.8854166666666666,0.85,0.8673469387755102,100.0,
College,0.8557692307692307,0.89,0.8725490196078431,100.0,
accuracy,0.87,0.87,0.87,0.87,0.9310999999999999
macro avg,0.8705929487179487,0.87,0.8699479791916767,200.0,
weighted avg,0.8705929487179486,0.87,0.8699479791916767,200.0,
