,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.665±0.018,0.891±0.027,0.762±0.017,399.600±0.548,nan±nan
Potable,0.637±0.062,0.297±0.055,0.404±0.059,255.600±0.548,nan±nan
accuracy,0.660±0.025,0.660±0.025,0.660±0.025,0.660±0.025,0.664±0.049
macro avg,0.651±0.039,0.594±0.029,0.583±0.036,655.200±0.447,nan±nan
weighted avg,0.654±0.034,0.660±0.025,0.622±0.032,655.200±0.447,nan±nan
