,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.688±0.016,0.773±0.012,0.728±0.014,792.600±0.548,nan±nan
Recidivism,0.674±0.021,0.572±0.025,0.618±0.023,650.200±0.447,nan±nan
accuracy,0.682±0.018,0.682±0.018,0.682±0.018,0.682±0.018,0.742±0.017
macro avg,0.681±0.018,0.672±0.018,0.673±0.019,1442.800±0.447,nan±nan
weighted avg,0.681±0.018,0.682±0.018,0.679±0.018,1442.800±0.447,nan±nan
