,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.951±0.000,0.998±0.004,0.974±0.002,972.200±0.447,nan±nan
Stroke,0.200±0.447,0.004±0.009,0.008±0.018,49.800±0.447,nan±nan
accuracy,0.950±0.003,0.950±0.003,0.950±0.003,0.950±0.003,0.815±0.035
macro avg,0.576±0.224,0.501±0.005,0.491±0.009,1022.000±0.000,nan±nan
weighted avg,0.915±0.022,0.950±0.003,0.927±0.002,1022.000±0.000,nan±nan
