,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.695±0.016,0.767±0.008,0.729±0.011,792.600±0.548,nan±nan
Recidivism,0.675±0.015,0.589±0.029,0.629±0.023,650.200±0.447,nan±nan
accuracy,0.687±0.016,0.687±0.016,0.687±0.016,0.687±0.016,0.740±0.017
macro avg,0.685±0.016,0.678±0.017,0.679±0.017,1442.800±0.447,nan±nan
weighted avg,0.686±0.016,0.687±0.016,0.684±0.016,1442.800±0.447,nan±nan
