,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.693621867881549,0.7689393939393939,0.7293413173652694,792.0,
Recidivism,0.675531914893617,0.5861538461538461,0.6276771004942339,650.0,
accuracy,0.6865464632454924,0.6865464632454924,0.6865464632454924,0.6865464632454924,0.7511081973581974
macro avg,0.6845768913875829,0.67754662004662,0.6785092089297516,1442.0,
weighted avg,0.6854675894889306,0.6865464632454924,0.6835148673193796,1442.0,
