,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.003,0.017,0.015,0.447,
Stroke,0.005,0.028,0.008,0.447,
accuracy,0.017,0.017,0.017,0.017,0.032
macro avg,0.004,0.019,0.011,0.000,
weighted avg,0.003,0.017,0.015,0.000,
