,precision,recall,f1-score,support,ROC_AUC
No subscription,0.902±0.001,0.985±0.002,0.942±0.001,7984.400±0.548,nan±nan
"Yes, subscribed",0.627±0.030,0.188±0.014,0.289±0.018,1057.800±0.447,nan±nan
accuracy,0.892±0.002,0.892±0.002,0.892±0.002,0.892±0.002,0.772±0.007
macro avg,0.764±0.016,0.587±0.007,0.615±0.009,9042.200±0.447,nan±nan
weighted avg,0.869±0.004,0.892±0.002,0.865±0.003,9042.200±0.447,nan±nan
