,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.693±0.019,0.749±0.065,0.719±0.025,792.600±0.548,nan±nan
Recidivism,0.665±0.041,0.594±0.064,0.624±0.026,650.200±0.447,nan±nan
accuracy,0.679±0.016,0.679±0.016,0.679±0.016,0.679±0.016,0.726±0.017
macro avg,0.679±0.019,0.672±0.015,0.671±0.015,1442.800±0.447,nan±nan
weighted avg,0.680±0.018,0.679±0.016,0.676±0.015,1442.800±0.447,nan±nan
