,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.678±0.023,0.893±0.052,0.770±0.020,399.600±0.548,nan±nan
Potable,0.679±0.068,0.334±0.092,0.439±0.084,255.600±0.548,nan±nan
accuracy,0.675±0.026,0.675±0.026,0.675±0.026,0.675±0.026,0.688±0.021
macro avg,0.678±0.037,0.614±0.033,0.605±0.045,655.200±0.447,nan±nan
weighted avg,0.678±0.031,0.675±0.026,0.641±0.037,655.200±0.447,nan±nan
