,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.951,1.000,0.975,972.200,
Stroke,0.200,0.004,0.008,49.800,
accuracy,0.951,0.951,0.951,0.951,0.834
macro avg,0.576,0.502,0.491,1022.000,
weighted avg,0.915,0.951,0.928,1022.000,
