,precision,recall,f1-score,support,ROC_AUC
No subscription,0.898,0.988,0.941,7984.400,
"Yes, subscribed",0.632,0.154,0.247,1057.800,
accuracy,0.890,0.890,0.890,0.890,0.772
macro avg,0.765,0.571,0.594,9042.200,
weighted avg,0.867,0.890,0.860,9042.200,
