,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.701±0.015,0.772±0.017,0.735±0.013,792.600±0.548,nan±nan
Recidivism,0.683±0.019,0.597±0.026,0.637±0.020,650.200±0.447,nan±nan
accuracy,0.694±0.016,0.694±0.016,0.694±0.016,0.694±0.016,0.744±0.018
macro avg,0.692±0.016,0.685±0.016,0.686±0.016,1442.800±0.447,nan±nan
weighted avg,0.693±0.016,0.694±0.016,0.691±0.016,1442.800±0.447,nan±nan
