,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.885±0.008,0.935±0.007,0.909±0.002,4944.000±0.000,nan±nan
Income > 50K,0.750±0.013,0.615±0.034,0.675±0.017,1568.200±0.447,nan±nan
accuracy,0.858±0.004,0.858±0.004,0.858±0.004,0.858±0.004,0.915±0.002
macro avg,0.817±0.005,0.775±0.014,0.792±0.009,6512.200±0.447,nan±nan
weighted avg,0.852±0.005,0.858±0.004,0.853±0.005,6512.200±0.447,nan±nan
