,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.665±0.011,0.869±0.025,0.753±0.010,399.600±0.548,nan±nan
Potable,0.608±0.033,0.316±0.043,0.414±0.039,255.600±0.548,nan±nan
accuracy,0.653±0.013,0.653±0.013,0.653±0.013,0.653±0.013,0.658±0.011
macro avg,0.637±0.019,0.593±0.016,0.584±0.021,655.200±0.447,nan±nan
weighted avg,0.643±0.016,0.653±0.013,0.621±0.018,655.200±0.447,nan±nan
