,precision,recall,f1-score,support,ROC_AUC
College,0.918±0.018,0.916±0.032,0.917±0.015,100.000±0.000,nan±nan
No College,0.917±0.028,0.918±0.020,0.917±0.013,100.000±0.000,nan±nan
accuracy,0.917±0.014,0.917±0.014,0.917±0.014,0.917±0.014,0.973±0.009
macro avg,0.918±0.014,0.917±0.014,0.917±0.014,200.000±0.000,nan±nan
weighted avg,0.918±0.014,0.917±0.014,0.917±0.014,200.000±0.000,nan±nan
