,precision,recall,f1-score,support,ROC_AUC
Bad,0.741±0.015,0.758±0.014,0.749±0.010,1027.200±0.447,nan±nan
Good,0.730±0.011,0.712±0.025,0.721±0.015,947.000±0.000,nan±nan
accuracy,0.736±0.012,0.736±0.012,0.736±0.012,0.736±0.012,0.802±0.010
macro avg,0.736±0.011,0.735±0.012,0.735±0.012,1974.200±0.447,nan±nan
weighted avg,0.736±0.011,0.736±0.012,0.736±0.012,1974.200±0.447,nan±nan
