,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.610±0.001,0.999±0.002,0.757±0.001,399.600±0.548,nan±nan
Potable,0.100±0.224,0.002±0.003,0.003±0.007,255.600±0.548,nan±nan
accuracy,0.610±0.001,0.610±0.001,0.610±0.001,0.610±0.001,0.495±0.013
macro avg,0.355±0.112,0.500±0.001,0.380±0.003,655.200±0.447,nan±nan
weighted avg,0.411±0.087,0.610±0.001,0.463±0.002,655.200±0.447,nan±nan
